UAI,libelle_nature,Nom_etablissement,Nombre d'élèves total ULIS,nombre_eleves_total,Statut_public_prive,Adresse_1,Adresse_2,Code_postal,Nom_commune,ULIS,position,coordX_origine,coordY_origine,epsg_origine,latitude,longitude
0331464M,COLLEGE,Collège Jean Zay,"17,00","633,00",Public,Avenue JEAN ZAY,BP 60101,33151,Cenon,1,"44.854318986096345, -0.5131354045833131",422538.8,6423411.9,EPSG:2154,44.854318986096345,-0.5131354045833131
0331885V,COLLEGE,Collège Jean Jaurès,"15,00","762,00",Public,32 avenue DES QUATRE PAVILLONS,BP 20115,33151,Cenon,1,"44.86285258870648, -0.5166386585386282",422304.5,6424371.1,EPSG:2154,44.86285258870648,-0.5166386585386282
0332190B,COLLEGE,Collège Alfred Mauguin,"15,00","582,00",Public,2 A avenue du Marechal Juin,,33170,Gradignan,1,"44.772249000783766, -0.5967387196056518",415525.4,6414603.0,EPSG:2154,44.772249000783766,-0.5967387196056518
0330138W,COLLEGE,Collège Jean Aviotte,"16,00","451,00",Public,6 grand'rue,,33230,Guîtres,1,"45.04162784600899, -0.18546107752025037",449242.2,6443101.0,EPSG:2154,45.04162784600899,-0.18546107752025037
0331891B,COLLEGE,Collège Les Lesques,"13,00","538,00",Public,1 avenue Jean Moulin,BP 48,33341,Lesparre-Médoc,1,"45.299822399133554, -0.9266261293803881",392367.0,6474368.0,EPSG:2154,45.299822399133554,-0.9266261293803881
0331895F,COLLEGE,Collège Montaigne,"15,00","482,00",Public,Esplanade François Mitterrand,BP 29,33305,Lormont,1,"44.87379527053053, -0.5168973506847918",422338.2,6425586.2,EPSG:2154,44.87379527053053,-0.5168973506847918
0330145D,COLLEGE,Collège Capeyron,"15,00","515,00",Public,50 avenue DU BEDAT,,33700,Mérignac,1,"44.849560003439734, -0.6474610333265041",411913.0,6423364.9,EPSG:2154,44.849560003439734,-0.6474610333265041
0331644H,COLLEGE,Collège privé Saint Jean,"6,00","323,00",Privé,7 rue MAQUIS VIGNES OUDIDES,,33250,Pauillac,1,"45.195092257340264, -0.7494877930258221",405682.2,6462075.4,EPSG:2154,45.195092257340264,-0.7494877930258221
0332934K,COLLEGE,Collège Elise Deroche,"15,00","556,00",Public,127 voie André Seyrac,BP 70015,33490,Le Pian-sur-Garonne,1,"44.56962001444899, -0.2279028558482729",443760.5,6390853.7,EPSG:2154,44.56962001444899,-0.2279028558482729
0330113U,COLLEGE,Collège Jean Monnet,"15,00","580,00",Public,10 rue DES DROITS DE L HOMME,,33820,Saint-Ciers-sur-Gironde,1,"45.29361690568263, -0.6130145546808428",416887.6,6472506.5,EPSG:2154,45.29361690568263,-0.6130145546808428
0332705L,COLLEGE,Collège François Mauriac,"13,00","561,00",Public,33 rue DU PROFESSEUR PORTMANN,,33560,Sainte-Eulalie,1,"44.90247527609466, -0.47223080447731114",426002.4,6428612.5,EPSG:2154,44.90247527609466,-0.47223080447731114
0330163Y,COLLEGE,Collège Elie Faure,"15,00","454,00",Public,Port STE FOY,BP 115,33220,Sainte-Foy-la-Grande,1,"44.84251417619523, 0.20311419962138558",479033.8,6419841.2,EPSG:2154,44.84251417619523,0.20311419962138558
0332706M,COLLEGE,Collège Léo Drouyn,"13,00","733,00",Public,90 rue du Collège,,33240,Vérac,1,"44.991675498111114, -0.3387105380209908",436951.0,6438056.4,EPSG:2154,44.991675498111114,-0.3387105380209908
0330132P,COLLEGE,Collège Niki de Saint Phalle,"17,00","709,00",Public,5 allée du Commandant Moos,BP 194,33884,Villenave-d'Ornon,1,"44.7804427885347, -0.5676769496213447",417863.5,6415407.9,EPSG:2154,44.7804427885347,-0.5676769496213447
0332085M,COLLEGE,Collège J. Auriac,"14,00","663,00",Public,4  RUE DE PEYTOT,BP 4,33500,Arveyres,1,"44.88367397845113, -0.28497051773945037",440683.7,6425893.8,EPSG:2154,44.88367397845113,-0.28497051773945037
0332347X,COLLEGE,Collège Sébastien Vauban,"23,00","705,00",Public,9 RUE DU DOCTEUR BOUTIN,BP 55,33390,Blaye,1,"45.124342157860035, -0.6582877324196346",412471.9,6453890.5,EPSG:2154,45.124342157860035,-0.6582877324196346
